ats_id,year,offers_hosted_pool,custom_order_types,market_data_feed_available,internal_trading_allowed,affiliate_access_to_ats,routing_to_affiliate_venue,display_to_persons,subscriber_opt_out_capability,supports_iois,supports_midpoint_orders,supports_post_only_orders,segmentation_supported
SGMT,2024,0,1,1,1,1,0,1,Yes — Subscriber can opt out of ATS operator but not affiliates,Yes — terms and conditions are uniform,1,1,1
SGMT,2025,0,1,1,1,1,0,1,Yes — Subscriber can opt out of ATS operator but not affiliates,Yes — terms and conditions are uniform,1,1,1
UBSA,2020,1,1,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
UBSA,2021,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
UBSA,2022,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
UBSA,2023,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
UBSA,2024,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
UBSA,2025,1,1,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
XSTM,2021,0,1,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
XSTM,2022,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
XSTM,2023,0,1,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
XSTM,2024,0,1,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
XSTM,2025,0,1,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
